Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
72,,,,,,,4.61937136,50.66905138,177.404,Global,0.130,0.141,0.366,0.192,2.074,m,SINGLE,NONE,2026-03-11 11:37:26.0 UTC+01:00,2026-03-11 11:37:31.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
73,,,,,,,4.61943255,50.66905142,177.782,Global,0.142,0.148,0.378,0.205,2.074,m,SINGLE,NONE,2026-03-11 11:37:51.2 UTC+01:00,2026-03-11 11:37:56.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
74,,,,,,,4.61942695,50.66909933,178.084,Global,0.154,0.150,0.485,0.215,2.074,m,SINGLE,NONE,2026-03-11 11:38:45.6 UTC+01:00,2026-03-11 11:38:50.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
75,,,,,,,4.61937972,50.66909191,176.001,Global,0.136,0.150,0.383,0.203,2.074,m,SINGLE,NONE,2026-03-11 11:39:05.6 UTC+01:00,2026-03-11 11:39:10.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
76,,,,,,,4.61929362,50.66908687,177.004,Global,0.113,0.130,0.328,0.172,2.074,m,SINGLE,NONE,2026-03-11 11:39:41.8 UTC+01:00,2026-03-11 11:39:46.8 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
77,,,,,,,4.61929621,50.66908985,176.515,Global,0.111,0.133,0.334,0.173,2.074,m,SINGLE,NONE,2026-03-11 11:40:04.0 UTC+01:00,2026-03-11 11:40:09.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
78,,,,,,,4.61928928,50.66909511,177.025,Global,0.110,0.130,0.332,0.170,2.074,m,SINGLE,NONE,2026-03-11 11:40:45.8 UTC+01:00,2026-03-11 11:40:50.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
79,,,,,,,4.61934665,50.66909542,177.483,Global,0.120,0.136,0.333,0.182,2.074,m,SINGLE,NONE,2026-03-11 11:41:10.8 UTC+01:00,2026-03-11 11:41:15.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
80,,,,,,,4.61934910,50.66908727,177.418,Global,0.120,0.135,0.324,0.181,2.074,m,SINGLE,NONE,2026-03-11 11:41:37.6 UTC+01:00,2026-03-11 11:41:42.6 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
81,,,,,,,4.61942243,50.66909207,177.570,Global,0.196,0.164,0.443,0.255,2.074,m,SINGLE,NONE,2026-03-11 11:41:57.4 UTC+01:00,2026-03-11 11:42:02.4 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
