Name;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Correction type;Averaging start;Averaging end;Samples;PDOP;GDOP;CS name;Device type;Device serial number
46;4,61947031;50,66898076;190,358;Global;0,005;0,006;0,019;0,008;2,074;m;FIX;NONE;2026-03-11 11:25:47,0 UTC+01:00;2026-03-11 11:25:52,0 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
47;4,61946828;50,6689883;190,39;Global;0,008;0,009;0,019;0,012;2,074;m;FIX;NONE;2026-03-11 11:26:04,6 UTC+01:00;2026-03-11 11:26:09,6 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
48;4,61946655;50,66899115;190,153;Global;0,007;0,007;0,017;0,01;2,074;m;FIX;NONE;2026-03-11 11:26:47,0 UTC+01:00;2026-03-11 11:26:52,0 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
49;4,61946543;50,669014;190,137;Global;0,005;0,006;0,016;0,008;2,074;m;FIX;NONE;2026-03-11 11:27:11,0 UTC+01:00;2026-03-11 11:27:16,0 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
50;4,61940963;50,66901078;190,121;Global;0,028;0,005;0,024;0,029;2,074;m;FIX;NONE;2026-03-11 11:27:40,2 UTC+01:00;2026-03-11 11:27:45,2 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
51;4,61940444;50,66898613;190,196;Global;0,007;0,006;0,015;0,009;2,074;m;FIX;NONE;2026-03-11 11:28:04,6 UTC+01:00;2026-03-11 11:28:09,6 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
52;4,61933237;50,66898176;190,314;Global;0,005;0,006;0,014;0,008;2,074;m;FIX;NONE;2026-03-11 11:28:32,6 UTC+01:00;2026-03-11 11:28:37,6 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
53;4,61932533;50,66900666;190,214;Global;0,005;0,005;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:28:53,2 UTC+01:00;2026-03-11 11:28:58,2 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
54;4,6193267;50,66900835;189,859;Global;0,005;0,005;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:29:12,6 UTC+01:00;2026-03-11 11:29:17,6 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
55;4,61932334;50,66901743;189,796;Global;0,004;0,005;0,011;0,007;2,074;m;FIX;NONE;2026-03-11 11:29:37,0 UTC+01:00;2026-03-11 11:29:42,0 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
56;4,6193768;50,66902016;189,783;Global;0,005;0,005;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:30:04,0 UTC+01:00;2026-03-11 11:30:09,0 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
57;4,6193782;50,66901048;189,76;Global;0,004;0,004;0,011;0,006;2,074;m;FIX;NONE;2026-03-11 11:30:29,0 UTC+01:00;2026-03-11 11:30:29,6 UTC+01:00;4;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
58;4,61937822;50,66901049;189,76;Global;0,005;0,005;0,011;0,007;2,074;m;FIX;NONE;2026-03-11 11:30:31,8 UTC+01:00;2026-03-11 11:30:36,8 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
59;4,61946366;50,66901489;189,873;Global;0,005;0,005;0,014;0,007;2,074;m;FIX;NONE;2026-03-11 11:30:54,8 UTC+01:00;2026-03-11 11:30:59,8 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
60;4,6194632;50,66902466;189,797;Global;0,006;0,005;0,013;0,008;2,074;m;FIX;NONE;2026-03-11 11:31:27,0 UTC+01:00;2026-03-11 11:31:32,0 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
61;4,61946219;50,66902621;189,451;Global;0,005;0,005;0,013;0,007;2,074;m;FIX;NONE;2026-03-11 11:31:52,0 UTC+01:00;2026-03-11 11:31:57,0 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
62;4,61940517;50,66902312;189,416;Global;0,005;0,006;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:32:19,4 UTC+01:00;2026-03-11 11:32:24,4 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
63;4,61932688;50,66901957;189,493;Global;0,005;0,006;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:32:48,8 UTC+01:00;2026-03-11 11:32:53,8 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
64;4,61932278;50,66904283;189,381;Global;0,004;0,004;0,012;0,006;2,074;m;FIX;NONE;2026-03-11 11:33:12,0 UTC+01:00;2026-03-11 11:33:17,0 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
65;4,61937342;50,66904509;189,371;Global;0,005;0,004;0,012;0,006;2,074;m;FIX;NONE;2026-03-11 11:33:36,0 UTC+01:00;2026-03-11 11:33:41,0 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
66;4,61941886;50,66904247;189,38;Global;0,006;0,006;0,013;0,008;2,074;m;FIX;NONE;2026-03-11 11:33:58,2 UTC+01:00;2026-03-11 11:34:03,2 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
67;4,61945883;50,66904325;189,405;Global;0,006;0,005;0,017;0,008;2,074;m;FIX;NONE;2026-03-11 11:34:21,4 UTC+01:00;2026-03-11 11:34:26,4 UTC+01:00;26;1,6;1,9;Global CS;Reach RS2;824302D372E1EC90
68;4,6194623;50,66905919;189,268;Global;0,006;0,007;0,018;0,009;2,074;m;FIX;NONE;2026-03-11 11:35:03,8 UTC+01:00;2026-03-11 11:35:08,8 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
